"astro-ph/0609645","Vladimir Karas","V. Karas","Theoretical aspects of relativistic spectral features","To appear in Astronomische Nachrichten in the proceedings of the
  XMM-Newton workshop ""Variable and Broad Iron Lines around Black Holes"" (26-28
  June 2006, Madrid), eds. A. C. Fabian and N. Schartel","Astron.Nachr.327:961-968,2006","10.1002/asna.200610672",,"astro-ph",,"  The inner parts of black-hole accretion discs shine in X-rays which can be
monitored and the observed spectra can be used to trace strong gravitational
fields in the place of emission and along paths of light rays. This paper
summarizes several aspects of how the spectral features are influenced by
relativistic effects. We focus our attention onto variable and broad emission
lines, origin of which can be attributed to the presence of orbiting patterns
-- spots and spiral waves in the disc. We point out that the observed spectrum
can determine parameters of the central black hole provided the intrinsic local
emissivity is constrained by theoretical models.
","[{""version"":""v1"",""created"":""Sat, 23 Sep 2006 16:16:25 GMT""}]","2011-05-10"
"astro-ph/0609646","Keigo Enya","K. Enya, S. Tanaka, L. Abe, T. Nakagawa","Laboratory Experiment of Checkerboard Pupil Mask Coronagraph","6 pages, 6 figures",,"10.1051/0004-6361:20066351",,"astro-ph",,"  We present the results of the first laboratory experiment of checkerboard
shaped pupil binary mask coronagraphs using visible light, in the context of
the R&D activities for future mid-infrared space missions such as the 3.5 m
SPICA telescope. The primary aim of this work is to demonstrate the
coronagraphic performance of checkerboard masks down to a $10^{-6}$
peak-to-peak contrast, which is required to detect self-luminous extra-solar
planets in the mid-infrared region. Two masks, consisting of aluminum films on
a glass substrates, were manufactured using nano-fabrication techniques with
electron beam lithography: one mask was optimized for a pupil with a 30%
central obstruction and the other was for a pupil without obstruction. The
theoretical contrast for both masks was $10^{-7}$ and no adaptive optics system
was employed. For both masks, the observed point spread functions were quite
consistent with the theoretical ones. The average contrast measured within the
dark regions was $2.7 {\times} 10^{-7}$ and $1.1 {\times} 10^{-7}$. The
coronagraphic performance significantly outperformed the $10^{-6}$ requirement
and almost reached the theoretical limit determined by the mask designs. We
discuss the potential application of checkerboard masks for mid-infrared
coronagraphy, and conclude that binary masks are promising for future
high-contrast space telescopes.
","[{""version"":""v1"",""created"":""Sat, 23 Sep 2006 17:03:53 GMT""}]","2009-11-11"
"astro-ph/0609647","Luis Julian Goicoechea","L. J. Goicoechea, A. Ullan (Univ. Cantabria, Spain), J. E. Ovaldsen
  (Univ. Oslo, Norway), E. Koptelova (Moscow Univ., Russia), V. N. Shalyapin
  (NAS, Ukraine) and R. Gil-Merino (Univ. Sydney, Australia)","Gravitationally Lensed QSOs: Optical Monitoring with the EOCA and the
  Liverpool Telescope (LT)","To appear in ""Highlights of Spanish Astrophysics IV"" (Springer, eds.
  F. Figueras, J.M. Girart, M. Hernanz, C. Jordi). Proceedings of the VII
  Scientific Meeting of the Spanish Astronomical Society (SEA), held in
  Barcelona, September 12-15, 2006",,,,"astro-ph",,"  The aim of this contribution is to present the two first phases of the
optical monitoring programme of the Gravitational Lenses group at the
Universidad de Cantabria (GLUC, http://grupos.unican.es/glendama/). In an
initial stage (2003 March-June), the Estacion de Observacion de Calar Alto
(EOCA) was used to obtain VR frames of SBS 0909+532 and QSO 0957+561. These
observations in 2003 led to accurate fluxes of the two components of both
double QSOs, which are being compared and complemented with data from other
1-1.5 m telescopes located in the North Hemisphere: Fred Lawrence Whipple
Observatory (USA), Maidanak Observatory (Uzbekistan) and Wise Observatory
(Israel). On the other hand, the GLUC started the second phase of its
monitoring programme in 2005 January. In this second phase, they are using the
2 m fully robotic Liverpool Telescope (LT). The key idea is the two-band
photometric follow-up of four lensed QSOs with different main lensing galaxies:
SBS 0909+532 (elliptical), QSO 0957+561 (giant cD), B1600+434 (edge-on spiral)
and QSO 2237+0305 (face-on spiral). Thus, the light rays associated with the
components of the four gravitational mirages cross different galaxy
environments, and the corresponding light curves could unveil the content of
these environments. While SBS 0909+532 and QSO 0957+561 are the targets for the
two first years with the LT (2005-2006), the rest of targets (B1600+434 and QSO
2237+0305) will be monitored starting from 2007.
","[{""version"":""v1"",""created"":""Sat, 23 Sep 2006 17:11:42 GMT""}]","2007-05-23"
"astro-ph/0609648","Kelle Cruz","Kelle L. Cruz, I. Neill Reid, J. Davy Kirkpatrick, Adam J. Burgasser,
  James Liebert, Adam R. Solomon, Sarah J. Schmidt, Peter R. Allen, Suzanne L.
  Hawley, and Kevin R. Covey","Meeting the Cool Neighbors. IX. The Luminosity Function of M7-L8
  Ultracool Dwarfs in the Field","Accepted to AJ","Astron.J.133:439-467,2007","10.1086/510132",,"astro-ph",,"  We present a 20-pc, volume-limited sample of M7-L8 dwarfs created through
spectroscopic follow-up of sources selected from the Two Micron All Sky Survey
(2MASS) Second Incremental Release Point Source Catalog. In this paper, we
present optical spectroscopy of 198 candidate nearby ultracool dwarfs,
including 12 late-M and L dwarfs likely to be within 20 pc of the Sun and 94
more distant late-type dwarfs. We have also identified five ultracool dwarfs
with spectral signatures of low-gravity. Combining these data with previous
results, we define a sample of 99 ultracool dwarfs in 91 systems within 20 pc.
These are used to estimate the J- and K-band luminosity functions for dwarfs
with optical spectral types between M7 and L8 (10.5<M_J<15, 9.5<M_K<13). We
find a space density of 4.9 x 10^-3 pc^-3 for late-M dwarfs (M7-M9.5) and a
lower limit of 3.8 x 10^-3 pc^-3 for L dwarfs.
","[{""version"":""v1"",""created"":""Sat, 23 Sep 2006 21:16:57 GMT""}]","2008-11-26"
"astro-ph/0609649","Epele Luis","Luis N. Epele, Huner Fanchiotti, Carlos A. Garc\'ia Canal, Amalio F.
  Pacheco, Jaime Sa\~nudo","Venus Atmosphere Profile from a Maximum Entropy Principle","6 pages, 3 figures","Nonlin.Proc.Geophys.14:641,2007","10.5194/npg-14-641-2007",,"astro-ph",,"  The variational method with constraints recently developed by Verkley and
Gerkema to describe maximum-entropy atmospheric profiles is generalized to
ideal gases but with temperature-dependent specific heats. In so doing, an
extended and non standard potential temperature is introduced that is well
suited for tackling the problem under consideration. This new formalism is
successfully applied to the atmosphere of Venus. Three well defined regions
emerge in this atmosphere up to a height of $100 km$ from the surface: the
lowest one up to about $35 km$ is adiabatic, a transition layer located at the
height of the cloud deck and finally a third region which is practically
isothermal.
","[{""version"":""v1"",""created"":""Sun, 24 Sep 2006 04:09:08 GMT""}]","2016-08-15"
"astro-ph/0609651","Matthias Liebendoerfer","M. Liebendoerfer, U.-L. Pen, C. Thompson","Efficient approximations of neutrino physics for three-dimensional
  simulations of stellar core collapse","5 pages, 4 figures, in Proceedings of ""Nuclei in the Cosmos IX,
  Geneva, Jun 25-30"", associated movies are displayed at
  http://www.physik.unibas.ch/~liebend/display","PoSNIC-IX:132,2006",,,"astro-ph",,"  Neutrino transport in spherically symmetric models of stellar core collapse
and bounce has achieved a technically complete level, rewarded by the agreement
among independent groups that a multi-dimensional treatment of the
fluid-instabilities in the post-bounce phase is indispensable to model
supernova explosions. While much effort is required to develop a reliable
neutrino transport technique in axisymmetry, we explore neutrino physics
approximations and parameterizations for an efficient three-dimensional
simulation of the fluid-instabilities in the shock-heated matter that
accumulates between the accretion shock and the protoneutron star. We
demonstrate the reliability of a simple parameterization scheme in the collapse
phase and extend our 3D magneto-hydrodynamical collapse simulations to a
preliminary postbounce evolution. The growth of magnetic fields is
investigated.
","[{""version"":""v1"",""created"":""Sun, 24 Sep 2006 07:54:05 GMT""}]","2008-11-26"
"cond-mat/0609608","Ignacio Urrutia","Ignacio Urrutia","Two hard spheres in a spherical pore: Exact analytic results in two and
  three dimensions","def printed version","Journal of Statistical Physics 131, 597 (2008)","10.1007/s10955-088-9513-3",,"cond-mat.stat-mech",,"  The partition function and the one- and two-body distribution functions are
evaluated for two hard spheres with different sizes constrained into a
spherical pore. The equivalent problem for hard disks is addressed too. We
establish a relation valid for any dimension between these partition functions,
second virial coefficient for inhomogeneous systems in a spherical pore, and
third virial coefficients for polydisperse hard spheres mixtures. Using the
established relation we were able to evaluate the cluster integral $b_{2}(V)$
related with the second virial coefficient for the Hard Disc system into a
circular pore. Finally, we analyse the behaviour of the obtained expressions
near the maximum density.
","[{""version"":""v1"",""created"":""Sat, 23 Sep 2006 17:43:27 GMT""},{""version"":""v2"",""created"":""Thu, 19 Oct 2006 19:12:18 GMT""},{""version"":""v3"",""created"":""Mon, 28 Apr 2008 18:22:53 GMT""}]","2010-05-07"
"cond-mat/0609609","Yang Liu","Yang Liu and Karin A. Dahmen","Random Field Ising Model In and Out of Equilibrium","4 pages, 2 figures. submitted to Phys. Rev. Lett","2009 EPL 86 56003","10.1209/0295-5075/86/56003",,"cond-mat.stat-mech cond-mat.dis-nn",,"  We present numerical studies of zero-temperature Gaussian random-field Ising
model (zt-GRFIM) in both equilibrium and non-equilibrium. We compare the
no-passing rule, mean-field exponents and universal quantities in 3D (avalanche
critical exponents, fractal dimensions, scaling functions and anisotropy
measures) for the equilibrium and non-equilibrium disorder-induced phase
transitions. We show compelling evidence that the two transitions belong to the
same universality class.
","[{""version"":""v1"",""created"":""Sat, 23 Sep 2006 19:51:58 GMT""},{""version"":""v2"",""created"":""Wed, 27 Dec 2006 19:23:48 GMT""}]","2013-01-01"
"cond-mat/0609610","Christoph Bruder","W. Belzig, C. Bruder, Yu.V. Nazarov","Overscreening Diamagnetism in Cylindrical Superconductor-Normal
  Metal-Heterostructures",,"J. Low Temp. Phys. 147, 441 (2007)","10.1007/s10909-007-9326-9",,"cond-mat.supr-con",,"  We study the linear diamagnetic response of a superconducting cylinder coated
by a normal-metal layer due to the proximity effect using the clean limit
quasiclassical Eilenberger equations. We compare the results for the
susceptibility with those for a planar geometry. Interestingly, for $R\sim d$
the cylinder exhibits a stronger overscreening of the magnetic field, i.e., at
the interface to the superconductor it can be less than (-1/2) of the applied
field. Even for $R\gg d$, the diamagnetism can be increased as compared to the
planar case, viz. the magnetic susceptibility $4\pi\chi$ becomes smaller than
-3/4. This behaviour can be explained by an intriguing spatial oscillation of
the magnetic field in the normal layer.
","[{""version"":""v1"",""created"":""Sat, 23 Sep 2006 20:21:46 GMT""}]","2015-06-25"
"cond-mat/0609611","Guihua Chen","Guihua Chen, Zhibing Li, Jie Peng, Chunshan He, Weiliang Wang, Shaozhi
  Deng, Ningsheng Xu, Chongyu Wang, Shanying Wang, Xiao Zheng, GuanHua Chen,
  Tao Yu","Atomic decoration for improving the efficiency of field electron
  emission of carbon nanotubes","8 pages, 9 figures, LaTeX; content changed, typos corrected,
  references added",,,,"cond-mat.mtrl-sci cond-mat.other",,"  The field electron emission from the single-walled carbon nanotubes with
their open ends terminated by -BH, -NH, and -O has been simulated. The
apex-vacuum barrier and the emission current have been calculated. It has been
found that -BH and -NH suppress the apex-vacuum barrier significantly and lead
to higher emission current in contrast to the -O terminated structure in the
same applied field. The calculated binding energy implies that the carbon
nanotubes terminated with -BH and -NH are more stable than those saturated by
oxygen atoms or by hydrogen atoms.
","[{""version"":""v1"",""created"":""Sun, 24 Sep 2006 04:26:06 GMT""},{""version"":""v2"",""created"":""Fri, 9 Feb 2007 14:36:24 GMT""}]","2007-05-23"
