"astro-ph/0610425","David Merritt","David Merritt, Stefan Harfst, Gianfranco Bertone","Collisionally Regenerated Dark Matter Structures in Galactic Nuclei","11 pages, uses revtex4","Phys.Rev. D75 (2007) 043517","10.1103/PhysRevD.75.043517",,"astro-ph hep-ph",,"  We show that the presence of a rho~1/r^{3/2} dark matter overdensity can be
robustly predicted at the center of any galaxy old enough to have grown a
power-law density cusp in the stars via the Bahcall-Wolf mechanism. Using both
Fokker-Planck and direct N-body integrations, we demonstrate collisional
generation of these dark matter ""crests"" (Collisionally REgenerated
STtructures) even in the extreme case that the density of both stars and dark
matter were previously lowered by slingshot ejection from a binary supermassive
black hole. The time scale for collisional growth of the crest is approximately
the two-body relaxation time as defined by the stars, which is < 10 Gyr at the
centers of stellar spheroids with luminosities comparable to that of the Milky
Way bulge or less. The presence of crests can robustly be predicted in such
galaxies, unlike the steeper enhancements, called ""spikes,"" produced by the
adiabatic growth of black holes. We discuss special cases where the prospects
for detecting dark matter annihilations from the centers of galaxy haloes are
significantly affected by the formation of crests.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 15:07:36 GMT""}]","2009-11-11"
"astro-ph/0610448","Manjari Bagchi","Manjari Bagchi, Jishnu Dey, Sushan Konar, Gour Bhattacharya and Mira
  Dey","Members of the double pulsar system PSR J0737-3039 : neutron stars or
  strange stars ?","6 pages, no figure. Accepted for publication in New Astronomy","New Astron.14:37,2009","10.1016/j.newast.2008.04.006",,"astro-ph",,"  One interesting method of constraining the dense matter Equations of State is
to measure the advancement of the periastron of the orbit of a binary radio
pulsar (when it belongs to a double neutron star system). There is a great deal
of interest on applicability of this procedure to the double pulsar system PSR
J0737-3039 (A/B). Although the above method can be applied to PSR A in future
within some limitations, for PSR B this method can not be applied. On the other
hand, the study of genesis of PSR B might be useful in this connection and its
low mass might be an indication that it could be a strange star.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 17:18:35 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 2006 11:33:58 GMT""},{""version"":""v3"",""created"":""Wed, 22 Aug 2007 08:49:59 GMT""},{""version"":""v4"",""created"":""Tue, 29 Apr 2008 07:16:20 GMT""}]","2009-03-04"
"astro-ph/0610449","Sean Farrell Mr","S.A. Farrell, P.M. O'Neill, R.K. Sood, S. Dieters and R.K. Manchanda","A Multicoloured View of 2S 0114+650","4 pages, 2 figures; to appear in proceedings for ""The multicoloured
  landscape of compact objects and their explosive progenitors"", Cefalu,
  Sicily, 2006 June 11-24, AIP, submitted","AIPConf.Proc.924:885-888,2007","10.1063/1.2774958",,"astro-ph",,"  We report the results of radio and X-ray observations of the high mass X-ray
binary 2S 0114+650, made with the Giant Meterwave Radio Telescope and the Rossi
X-ray Timing Explorer respectively. No emission was detected at radio
wavelengths. The neutral hydrogen column density was found to vary over the
orbital period, while no variability over the the super-orbital period was
observed. We discuss the causes of the observed relationships and the
implications for the underlying mechanisms.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 02:00:03 GMT""}]","2008-11-26"
"astro-ph/0610450","Alexander Zaharow","A.W. Zaharow","Gravitational stability of finite massive bodies",,,,,"astro-ph",,"  Jeans instability of finite massive bodies at hydrostatic equilibrium is
studied. Differential equation governing the evolution of infinitesimal
disturbances is derived. We take into account radial inhomogeneity of mass
density and other fluid parameters at the equilibrium state. Dispersion
relation and a simple analytical formula, generalizing the Jeans criterion of
instability, are derived.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 03:52:47 GMT""}]","2007-05-23"
"astro-ph/0610451","Jun Pan","Jun Pan","The fractional Brownian motion and the halo mass function","accepted by MNRAS Letters; 1 eps figure","Mon.Not.Roy.Astron.Soc.Lett. 374 (2007) L6-L9","10.1111/j.1745-3933.2006.00253.x",,"astro-ph",,"  The fractional Brownian motion with index $\alpha$ is introduced to construct
the fractional excursion set model. A new mass function with single parameter
$\alpha$ is derived within the formalism, of which the Press-Schechter mass
function (PS) is a special case when $\alpha=1/2$. Although the new mass
function is computed assuming spherical collapse, comparison with the
Sheth-Tormen fitting function (ST) shows that the new mass function of
$\alpha\approx 0.435$ agrees with ST remarkably well in high mass regime, while
predicts more small mass halos than the ST but less than the PS. The index
$\alpha$ is the Hurst exponent, which exact value in context of structure
formation is modulated by properties of the smoothing window function and the
shape of power spectrum. It is conjectured that halo merging rate and merging
history in the fractional set theory might be imprinted with the interplay
between halos at small scales and their large scale environment. And the mass
function in high mass regime can be a good tool to detect the non-Gaussianity
of the initial density fluctuation.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 05:03:10 GMT""}]","2009-11-11"
"astro-ph/0610452","Andrew King","Andrew King, Emma Olsson and Melvyn B. Davies","A new type of long gamma--ray burst","MNRAS, in press","Mon.Not.Roy.Astron.Soc.Lett. 374 (2007) L34-L36","10.1111/j.1745-3933.2006.00259.x",,"astro-ph",,"  We consider gamma--ray bursts produced by the merger of a massive white dwarf
with a neutron star. We show that these are likely to produce long--duration
GRBs, in some cases definitely without an accompanying supernova, as observed
recently. This class of burst would have a strong correlation with star
formation, and occur close to the host galaxy. However rare members of the
class need not be near star--forming regions, and could have any type of host
galaxy. Thus a long--duration burst far from any star--forming region would
also be a signature of this class. Estimates based on the existence of a known
progenitor suggest that our proposed class may be an important contributor to
the observed GRB rate.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:12:03 GMT""}]","2009-11-11"
"astro-ph/0610453","Isabella Prandoni","I. Prandoni, R.A. Laing, P. Parma, H.R. de Ruiter, F.M.
  Montenegro-Montes and T.L. Wilson","A Molecular Gas Study of Low Luminosity Radio Galaxies","To appear on New Astronomy Reviews, Vol. 51 eds. Morganti, Oosterloo,
  Villar-Martin & van Gorkom","NewAstron.Rev.51:43-46,2007","10.1016/j.newar.2006.10.003",,"astro-ph",,"  We discuss CO spectral line data of a volume-limited sample of 23 nearby
(z<0.03) low luminosity radio galaxies, selected from the B2 catalogue. We
investigate whether the CO properties of our sample are correlated with the
properties of the host galaxy, and in particular with the dust component. We
find strong evidences for a physical link between the dust disks probed by HST
in the galaxy cores and the molecular gas probed by the CO spectral lines,
which in two cases display a double-horn shape, consistent with ordered
rotation. On the other hand, from a preliminary comparison with other samples
of radio sources we find no significant differences in molecular gas properties
between FRI and FRII radio sources. In order to confirm the suggestion that the
CO is dynamically associated with the core dust disks, the most suitable
sources of our sample will be proposed for interferometric imaging at PdBI.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:47:36 GMT""}]","2008-11-26"
"astro-ph/0610454","Matthias Vigelius","M. Vigelius, A. Melatos, S. Chatterjee, B.M. Gaensler, P. Ghavamian","Three-dimensional hydrodynamic simulations of asymmetric pulsar wind bow
  shocks","Accepted for publication in MNRAS. High resolution pdf can be found
  at: http://astro.ph.unimelb.edu.au/~mvigeliu/downloads/bspaper.pdf","Mon.Not.Roy.Astron.Soc.374:793-808,2007","10.1111/j.1365-2966.2006.11193.x",,"astro-ph",,"  We present three-dimensional, nonrelativistic, hydrodynamic simulations of
bow shocks in pulsar wind nebulae. The simulations are performed for a range of
initial and boundary conditions to quantify the degree of asymmetry produced by
latitudinal variations in the momentum flux of the pulsar wind, radiative
cooling in the postshock flow, and density gradients in the interstellar medium
(ISM). We find that the bow shock is stable even when travelling through a
strong ISM gradient. We demonstrate how the shape of the bow shock changes when
the pulsar encounters density variations in the ISM. We show that a density
wall can account for the peculiar bow shock shapes of the nebulae around PSR
J2124-3358 and PSR B0740-28. A wall produces kinks in the shock, whereas a
smooth ISM density gradient tilts the shock. We conclude that the anisotropy of
the wind momentum flux alone cannot explain the observed bow shock morphologies
but it is instead necessary to take into account external effects. We show that
the analytic (single layer, thin shell) solution is a good approximation when
the momentum flux is anisotropic, fails for a steep ISM density gradient, and
ap- proaches the numerical solution for efficient cooling. We provide analytic
expressions for the latitudinal dependence of a vacuum-dipole wind and the
associated shock shape, and compare the results to a split-monopole wind. We
find that we are unable to distinguish between these two wind models purely
from the bow shock morphology.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:33:07 GMT""}]","2008-11-26"
"astro-ph/0610455","John Stephen","L. Bassani, A. Malizia and J.B. Stephen (for the INTEGRAL AGN survey
  team)","INTEGRAL/IBIS 20-100 keV Extragalactic survey: an update","8 pages, 12 figures, presented at the 6th INTEGRAL Workshop ""The
  Obscured Universe"", Moscow, 2-8 July 2006",,,,"astro-ph",,"  Analysis of INTEGRAL Core Program and public Open Time observations has
recently provided a sample of 60 extragalactic sources selected in the 20-100
keV band above a flux of 1.5 10^-11 erg/cm2/s. As this band probes heavily
obscured regions/objects, i.e. those that could be missed in optical, UV, and
even X-ray surveys, our sample offers the opportunity to study the
extragalactic sky from a different point of view with respect to surveys at
lower energies. We present an update of our analysis, including the first
sample of AGNs detected above 100 keV. We also discuss the results of follow up
observations performed at optical and X-ray frequencies with the aim of
classifying our objects and studying the effects of intrinsic absorption in
gamma-ray selected AGNs. The average redshift of our sample is 0.134 while the
mean 20-100 keV luminosity in Log is 43.84; if blazars are excluded these
numbers become 0.022 and 43.48 respectively. Defining an absorbed object as one
with NH above 10^22 atoms/cm2, we find that absorption is present in 60% of the
objects with at most 14% of the total sample due to Compton thick active
galaxies. Almost all Seyfert 2s in our sample are absorbed as are 24% of
Seyfert 1s. We also present broad-band spectral information on a sub-sample of
the brightest objects: our observations indicate a mean photon index of 1.8
spanning from 30-50 keV to greater than 200 keV. Finally, we discuss the
LogN/LogS distribution in the 20-100 and 100-150 keV bands derived from our
sample. The present data highlight the capability of INTEGRAL to probe the
extragalactic gamma-ray sky, to discover new AGNs and to find absorbed objects.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:43:42 GMT""}]","2019-08-14"
"astro-ph/0610456","Alessandra Telleschi","A. Telleschi, M. Guedel, K. R. Briggs, S. L. Skinner, M. Audard, E.
  Franciosini","The first high-resolution X-ray spectrum of a Herbig Star: The case of
  AB Aurigae","18 pages, 7 Figures",,"10.1051/0004-6361:20065422",,"astro-ph",,"  We present the first high-resolution X-ray spectrum of a prototypical Herbig
star (AB Aurigae), measure and interpret various spectral features, and compare
our results with model predictions. We use X-ray spectroscopy data from
XMM-Newton. The spectra are interpreted using thermal, optically thin emission
models with variable element abundances and a photoelectric absorption
component. We interpret line flux ratios in He-like triplet of O VII as a
function of electron density and the UV radiation field. We use the nearby
co-eval classical T Tauri star SU Aur as a comparison. AB Aurigae reveals a
soft X-ray spectrum, most plasma being concentrated at 1-6 MK. The He-like
triplet reveals no signatures of increased densities and there are no clear
indications for strong abundance anomalies. The light curve displays modulated
variability, with a period of ~ 42 hr. It is unlikely that a nearby, undetected
lower-mass companion is the source of the X-rays. Accretion shocks close to the
star should be irradiated by the photosphere, leading to alteration in the
He-like triplet fluxes of O VII, which we do not measure. Also, no indications
for high densities are found, although the mass accretion rate is presently
unknown. Emission from wind shocks is unlikely, given the weak radiation
pressure. A possible explanation would be a solar-like magnetic corona.
Magnetically confined winds provide a very promising alternative. The X-ray
period is indeed close to periods previously measured in optical lines from the
wind.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:08:57 GMT""}]","2009-11-11"
"astro-ph/0610457","Christian Zier","Christian Zier","Merging of a massive black hole binary II","21 pages, 11 figures, Sect.5 with new density profile and figures,
  MNRAS in press","Mon.Not.Roy.Astron.Soc.378:1309-1327,2007","10.1111/j.1365-2966.2007.11859.x",,"astro-ph",,"  In this paper, the second in a series of two, we justify two important
assumptions on which the result is based that in course of a galaxy merger the
slingshot ejection of bound stars is sufficiently efficient to allow a
supermassive black hole binary to merge. A steep cusp with a power law index of
2.5 to 3 is required which is as massive as the binary and surrounds the BHs
when the binary becomes hard. This cusp is probably formed when both clusters,
surrounding each black hole, merge and combine with the matter funneled into
the center. We find this profile to be in agreement with observed post-merger
distributions after the cusp has been destroyed. The time dependency we derive
for the merger predicts that stalled black holes, if they exist at all, will
preferably be found in less than about 0.2 pc distance. To test this prediction
we compute the current semimajor axis of 12 candidates of ongoing mergers. We
find all binaries unambiguously to be already in the last phase when they decay
due to the emission of gravitational waves. Therefore, in striking
contradiction with predictions of a depleted loss-cone, the abscence of even a
single source in the slingshot phase strongly supports our previous and current
results: Binaries merge due to slingshot ejection of stars which have been
funneled into the central regions in course of a galaxy collision.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:00:04 GMT""},{""version"":""v2"",""created"":""Mon, 18 Jun 2007 12:31:18 GMT""}]","2008-11-26"
