"astro-ph/0612454","Bradford Holden","C. C. Dow-Hygelund, B. P. Holden, R. Bouwens, G. D. Illingworth, A.
  van der Wel, M. Franx, P. G. van Dokkum, H. Ford, P. Rosati, D. Magee, A.
  Zirm","Spectroscopy of z~6 i-dropout Galaxies: Frequency of Ly-alpha Emission
  and the Sizes of Ly-alpha Emitting Galaxies","24 pages in emulate ApJ, 17 color figures (some resized to fit
  submission limits), and 3 tables. Accepted for publication in the
  Astrophysical Journal","Astrophys.J.660:47-61,2007","10.1086/512025",,"astro-ph",,"  We report on deep spectroscopy using LRIS on Keck I and FORS2 on the VLT of a
sample of 22 candidate z~6 Lyman Break galaxies (LBGs) selected by the i-z> 1.3
dropout criterion. Redshifts could be measured for eight objects. These
redshifts are all in the range z = 5.5 - 6.1, confirming the efficiency of the
i-z color selection technique. Six of the confirmed galaxies show Ly-alpha
emission. Assuming that the 14 objects without redshifts are z~6 LBGs, but lack
detectable Ly-alpha emission lines, we infer that the fraction of Ly-alpha
emitting LBGs with Ly-alpha equivalent widths greater than 20 Angstroms among
z~6 LBGs is ~30%, similar to that found at z~3. Every Ly-alpha emitting object
in our sample is compact with r <= 0.14"". Furthermore, all the Ly-alpha
emitting objects in our sample are more compact than average relative to the
observed size-magnitude relation of a large i-dropout sample (332 candidate z~6
objects). We can reject the hypothesis that the Ly-alpha emitting population is
a subset of the rest of the z~6 LBG population at >97% confidence. We speculate
the small sizes of Ly-alpha emitting LBGs are due to these objects being less
massive than other LBGs at z~6.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 20:56:03 GMT""}]","2010-11-11"
"astro-ph/0612457","Lorenzo Sorbo","Koushik Dutta, Lorenzo Sorbo","Confronting pNGB quintessence with data","6 pages, 4 figures, references added, minor changes","Phys.Rev.D75:063514,2007","10.1103/PhysRevD.75.063514",,"astro-ph hep-ph",,"  We analyze the observational constraints on the model where a
pseudo-Nambu-Goldstone boson (pNGB) plays the role of dark energy. The
constraints are derived by using the latest Gold set of 182 type Ia supernovae
and the CMB shift parameter. We allow for both the initial value of the scalar
field and the present value of the energy density in the pNGB to vary. We find
that - compared to previous analyses - the allowed portion of parameter space
has shrunk around the region where the pNGB does not evolve significantly.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 20:38:08 GMT""},{""version"":""v2"",""created"":""Thu, 11 Jan 2007 20:07:32 GMT""}]","2008-11-26"
"astro-ph/0612463","Marcelo Mora","Marcelo D. Mora (1), Soeren S. Larsen (2) and Markus Kissler-Patig (1)
  ((1) ESO Garching, (2) Astronomical Institute, University of Utrecht)","Imaging of star clusters in unperturbed spiral galaxies with the
  Advanced Camera for Surveys. I. The low luminosity galaxy NGC 45","16 pages,18 figures, accepted for publication in A&A",,"10.1051/0004-6361:20065852",,"astro-ph",,"  We present results from ACS and WFPC observations in the low luminosity
galaxy NGC 45. We identified 28 young star cluster candidates. While the exact
values of age, mass, and extinction depend somewhat on the choice of SSP
models, we find no young clusters with masses higher than a few 1000 Msun for
any model choice. We derive the luminosity function of young star clusters and
find a slope of alpha=-1.94+-0.28. We also identified 19 old globular clusters
and we estimate a specific frequency of globular clusters of S_N=1.4-1.9 which
is significantly higher than observed for other late-type galaxies (e.g. SMC,
LMC, M33). Most of these globular clusters appear to belong to a metal-poor
population, although they coincide spatially with the location of the bulge of
NGC 45.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 17:35:53 GMT""}]","2015-06-24"
"astro-ph/0612469","Gijs Verdoes Kleijn","Gijs Verdoes Kleijn, Ronald Vermeij, Edwin Valentijn, Koen Kuijken","The Secondary Standards programme for OmegaCAM at the VST","To appear in ASP conference proceedings for The Future of
  Photometric, Spectrophotometric, and polarimetric standardization, held in
  Blankenberge Belgium, may 8-11 2006. Figures available separately from
  manuscript and with degraded resolution. See
  http://www.astro-wise.org/Public/blankenberge_verdoes.ps.gz for manuscript
  with figures included in full resolution",,,,"astro-ph",,"  The OmegaCAM wide-field imager will start operations at the ESO VLT Survey
Telescope at Paranal, Chile, in 2007. The photometric calibration of OmegaCAM
data depends on standard star measurements that cover the complete 1 square
degree FoV of OmegeaCAM. A catalog fullfilling this requirement for eight
Landolt equatorial fields, denoted the OmegaCAM Secondary Standards Catalog,
will be constructed from OmegaCAM observations during the first year of
operations. Here we present the 'Preliminary Catalog' which will be used to
bootstrap the construction of the OmegaCAM Secondary Standards Catalog. Thus
the Preliminary Catalog will be used to assess the performance of OmegaCAM+VST
early-on. The catalog is based on WFC data from the INT at La Palma.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 17:42:18 GMT""}]","2007-05-23"
"astro-ph/0612476","Robin L. Shelton","Robin L. Shelton, Shauna M. Sallmen, Edward B. Jenkins","The Galactic Halo's O VI Resonance Line Intensity","Accepted by the Astrophysical Journal, AASTEX, 39 pages, including 6
  figures and 4 tables (manuscript replaced in order to re-typeset Table 3 and
  correct submission entry)","Astrophys.J.659:365-377,2007","10.1086/511152",,"astro-ph",,"  We used FUSE to observe ultraviolet emission from diffuse O VI in the hot gas
in the Galactic halo. By comparing our result with another, nearby observation
blocked by an opaque cloud at a distance of 230 pc, we could subtract off the
contribution from the Local Bubble, leading to an apparent halo intensity of
I_{OVI} = 4680^{+570}_{-660} photons/cm^2/s/sr. A correction for foreground
extinction leads to an intrinsic intensity that could be as much as twice this
value. Assuming T ~ 3 x 10^5 K, we conclude that the electron density, n_e, is
0.01-0.02 /cm^3, the thermal pressure, p/k, is 7000-10,000 K/cm^3, and that the
hot gas is spread over a length of 50-70 pc, implying a small filling factor
for O VI-rich gas. ROSAT observations of emission at 1/4 keV in the same
direction indicate that the X-rays are weaker by a factor of 1.1 to 4.7,
depending on the foreground extinction. Simulated supernova remnants evolving
in low density gas have similar O VI to X-ray ratios when the remnant plasma is
approaching collisional ioinizational equilibrium and the physical structures
are approaching dynamical ``middle age''. Alternatively, the plasma can be
described by a temperature power-law. Assuming that the material is
approximately isobaric and the length scales according to T^(beta) d(ln T), we
find beta = 1.5+/-0.6 and an upper temperature cutoff of 10^{6.6(+0.3,-0.2)} K.
The radiative cooling rate for the hot gas, including that which is too hot to
hold O VI, is 6 x 10^{38} erg/s/kpc^2. This rate implies that ~70% of the
energy produced in the disk and halo by SN and pre-SN winds is radiated by the
hot gas in the halo.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 20:59:27 GMT""},{""version"":""v2"",""created"":""Mon, 18 Dec 2006 22:10:13 GMT""},{""version"":""v3"",""created"":""Fri, 29 Dec 2006 19:14:00 GMT""}]","2011-02-11"
"astro-ph/0612487","Sergey Yu. Vernov","S.Yu. Vernov (Skobeltsyn Institute of Nuclear Physics, Moscow State
  University)","Construction of Exact Solutions in Two-Fields Models and the Crossing of
  the Cosmological Constant Barrier","LaTeX, 18 pages, 3 figures, references added, accepted for
  publication in Theor. Math. Phys","Teor.Mat.Fiz. 155:47-61,2008; Theor.Math.Phys.155:544-556,2008","10.1007/s11232-008-0045-4",,"astro-ph gr-qc hep-th math-ph math.MP nlin.PS",,"  A dark energy model with a phantom scalar field, an usual scalar field and
the string field theory inspired polynomial potential has been constructed. A
two-parameter set of exact solutions to the Friedmann equations has been found.
We have constructed such string inspired potential that some exact solutions
correspond to the state parameter $w_{DE}>-1$ at large time, whereas other ones
correspond to $w_{DE}<-1$ at large time. We demonstrate that the superpotential
method is very effective to seek new exact solutions. We also present a
two-fields model with a polynomial potential and the state parameter, which
crosses the cosmological barrier infinitely often.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 20:19:03 GMT""},{""version"":""v2"",""created"":""Sat, 10 Feb 2007 10:41:44 GMT""},{""version"":""v3"",""created"":""Tue, 9 Oct 2007 12:36:40 GMT""}]","2010-12-03"
"astro-ph/0612495","Marianne Lemoine-Goumard","HESS Collaboration: F.A. Aharonian, et al","H.E.S.S. observations of the supernova remnant RX J0852.0-4622:
  shell-type morphology and spectrum of a widely extended VHE gamma-ray source","42 pages, 20 figures, accepted for publication in ApJ",,"10.1086/512603",,"astro-ph",,"  The shell-type supernova remnant RX J0852.0-4622 was observed with the High
Energy Stereoscopic System (H.E.S.S.) of Atmospheric Cherenkov Telescopes
between December 2004 and May 2005 for a total observation time of 33 hours,
above an average gamma-ray energy threshold of 250 GeV. The angular resolution
of ~0.06 degree (for events triggering 3 or 4 telescopes) and the large field
of view of H.E.S.S. ($5^{\circ}$ diameter) are well adapted to studying the
morphology of the object in very high energy gamma-rays, which exhibits a
remarkably thin shell very similar to the features observed in the radio range
and in X-rays. The spectral analysis of the source from 300 GeV to 20 TeV is
also presented. Finally, the possible origins of the very high energy gamma-ray
emission (Inverse Compton scattering by electrons or the decay of neutral pions
produced by proton interactions) are discussed, on the basis of morphological
and spectral features obtained at different wavelengths.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 16:02:18 GMT""}]","2009-11-11"
"astro-ph/0612496","Guia Pastorini Miss","Guia Pastorini","Adaptive Optics Assisted 3D spectroscopy observations for black hole
  mass measurements","Conference proceedings to appear in ""The Central Engine of Active
  Galactic Nuclei"", ed. L. C. Ho and J.-M. Wang (San Francisco: ASP)",,,,"astro-ph",,"  The very high spatial resolution provided by Adaptive Optics assisted
spectroscopic observations at 8m-class telescopes (e.g. with SINFONI at the
VLT) will allow to greatly increase the number of direct black hole (BH) mass
measurements which is currently very small. This is a fundamental step to
investigate the tight link between galaxy evolution and BH growth, revealed by
the existing scaling relations between $M_{BH}$ and galaxy structural
parameters. I present preliminary results from SINFONI K-band spectroscopic
observations of a sample of 5 objects with $M_{BH}$ measurements obtained with
the Reverberation Mapping (RM) technique. This technique is the starting point
to derive the so-called virial $M_{BH}$ estimates, currently the only way to
measure $M_{BH}$ at high redshift. Our goal is to assess the reliability of RM
by measuring $M_{BH}$ with both gas and stellar kinematical methods and to
investigate whether active galaxies follow the same $M_{BH}$-galaxy
correlations as normal ones.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 16:12:49 GMT""}]","2007-05-23"
"astro-ph/0612497","D. M. Alexander","D.M. Alexander (Durham)","The Quest for a Complete Census of AGN Activity","8 pages, 3 figs; contribution for IR diagnostics of Galaxy Evolution
  Spitzer conference in Pasadena; bibtex references added",,,,"astro-ph",,"  Deep X-ray surveys provide the most efficient identification of Active
Galactic Nuclei (AGN) activity. However, recent evidence has indicated that the
current <10 keV surveys do not detect the most heavily obscured AGNs. Here we
explore whether the X-ray undetected AGN population can be identified within
the ultra-deep Spitzer survey of the GOODS-N field using X-ray stacking
techniques. We find evidence for AGN activity in the Spitzer dataset and the
strongest and hardest X-ray signal is produced by galaxies with starburst-like
infrared spectral slopes and median properties of z~0.8 and L_IR~10^{11}
L_solar. The stacked X-ray properties suggest that obscured AGN activity is
present in these sources, with a median X-ray spectral slope of Gamma~1 and
L_X~10^{42} erg/s. These overall properties are consistent with the obscured
AGN population expected to produce the unresolved X-ray background.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 16:22:19 GMT""},{""version"":""v2"",""created"":""Thu, 25 Jan 2007 17:25:22 GMT""}]","2007-05-23"
"astro-ph/0612498","Anne Poncelet","A. Poncelet, C. Doucet, G. Perrin, H. Sol, P. O. Lagage","Mid-IR observations of NGC 1068 with VLT/VISIR","2 pages, 2 figures, Conference proceedings to appear in ""The Central
  Engine of Active Galactic Nuclei"", ed. L. C. Ho and J.-M. Wang (San
  Francisco: ASP)",,,,"astro-ph",,"  We present a speckle analysis of the active galactic nucleus (AGN) inside the
archetype Seyfert type 2 galaxy NGC 1068. This study is based on 12.8 microns
images obtained with the burst mode of VISIR (the Very Large Telescope Imager
and Spectrometer in the InfraRed). The interferometric processing allows to
push the resolution far below the diffraction limit of a 8m telescope in the
N-band and to trace two main contributions to the mid-IR flux inside the
nucleus. It also allows to partially fill the lack of visibility points at low
spatial frequencies. The confrontation with VLT/MIDI (the Mid-InfrareD
Interferometer) data points helps to establish the link between dust in the
vicinity of the central engine and inside the ionisation cone to get a
multi-scale picture of mid-IR sources emitting in the nucleus of NGC 1068.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 2006 16:23:35 GMT""}]","2007-05-23"
